YearBuilt;NumberofBuildings;NumberofFloors;PropertyGFATotal;PropertyGFAParking(%);PropertyGFABuilding(s)(%);LargestPropertyUseType(%);SecondLargestPropertyUseType(%);ThirdLargestPropertyUseType(%);SiteEnergyUse(kBtu);SiteEnergyUse_log;TotalGHGEmissions_log;SteamUse(%);Electricity(%);NaturalGas(%);ENERGYSTARScore;TotalGHGEmissions;Education;Food Sales;Healthcare;Industrial;Office;Parking;Recreation;Religious;Residential;Retail;Sans;Services;Warehouse;Public_Services
1927;1.0;12;88434;0.0;100.0;100.0;0.0;0.0;7226362.5;15.793246493880627;5.525373254682162;27.7301616131214;54.6059929874816;17.66383848028659;60.0;249.98;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0;0.0;0.0;0.0
1996;1.0;11;103566;14.545314099221752;85.45468590077824;80.99183129598518;14.545314099221752;4.462854604793079;8387933.0;15.942304802589588;5.6932606471966185;0.0;38.66090728192512;61.33909271807488;61.0;295.86;0.0;4.462854604793079;0.0;0.0;0.0;14.545314099221752;0.0;0.0;80.99183129598518;0.0;0;0.0;0.0;0.0
1969;1.0;41;956110;20.574829256047945;79.42517074395205;79.1219629540534;0.0;0.0;72587024.0;18.100296744814614;7.6450533072773705;29.711307629859572;68.23074052464253;2.0579435795576906;43.0;2089.28;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;79.1219629540534;0.0;0;0.0;0.0;0.0
1926;1.0;10;61320;0.0;100.0;100.0;0.0;0.0;6794584.0;15.731636529382916;5.660979352330892;32.59134407639968;40.75192830054055;26.65671658485641;56.0;286.43;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0;0.0;0.0;0.0
1980;1.0;18;175580;35.311538899646884;64.68846110035311;70.30698257204693;38.73391046816266;0.0;14172606.0;16.466821574984518;6.226556431938032;0.0;37.88016826263286;62.11982468150177;75.0;505.01;0.0;0.0;0.0;0.0;0.0;38.73391046816266;0.0;0.0;70.30698257204693;0.0;0;0.0;0.0;0.0
1926;1.0;11;83008;0.0;100.0;98.00501156515034;0.0;0.0;5758795.0;15.566238983044945;5.176940380381437;0.0;48.81602835315374;51.18397164684626;27.0;176.14;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;98.00501156515034;0.0;0;0.0;0.0;0.0
1904;1.0;15;163984;0.0;100.0;100.0;0.0;0.0;13723820.0;16.434643640030767;5.974216653698429;0.0;53.17702359838587;46.822969115013166;43.0;392.16;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0;0.0;0.0;0.0
1969;1.0;11;153163;12.587243655452035;87.41275634454797;87.41275634454797;0.0;0.0;16016644.0;16.589139051954007;6.539961607594982;32.698269999632885;38.6324813113159;28.669239323793423;30.0;691.26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;87.41275634454797;0.0;0;0.0;0.0;0.0
1998;1.0;25;333176;18.356964487237974;81.64303551276203;101.03969073402645;0.0;0.0;26941110.0;17.109163967888286;6.609308811083168;22.26842360986611;67.12065315794338;10.610921376290731;36.0;740.97;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;101.03969073402645;0.0;0;0.0;0.0;0.0
1928;1.0;9;65009;0.0;100.0;100.0;0.0;0.0;6596057.5;15.701982831633819;5.796756594662978;25.11125016724005;20.36064725027033;54.52810258248961;48.0;328.23;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;100.0;0.0;0;0.0;0.0;0.0
